quantity,architecture,seed,value
plantvillage_test_aspect,effv2s,42,99.9263
plantvillage_test_aspect,effv2s,1337,99.9079
plantvillage_test_aspect,effv2s,2024,99.9263
plantvillage_test_aspect,swinv2t,42,99.8895
plantvillage_test_aspect,swinv2t,1337,99.8895
plantvillage_test_aspect,swinv2t,2024,99.8711
plantvillage_test_aspect,hybrid_gated,42,99.8711
plantvillage_test_aspect,hybrid_gated,1337,99.9263
plantvillage_test_aspect,hybrid_gated,2024,99.8895
plantvillage_test_aspect,hybrid_tokenattn,42,99.9079
plantvillage_test_aspect,hybrid_tokenattn,1337,99.9263
plantvillage_test_aspect,hybrid_tokenattn,2024,99.9448
plantwild_aspect,effv2s,42,15.6498
plantwild_aspect,effv2s,1337,16.4950
plantwild_aspect,effv2s,2024,17.0365
plantwild_aspect,swinv2t,42,13.4046
plantwild_aspect,swinv2t,1337,15.0423
plantwild_aspect,swinv2t,2024,15.8214
plantwild_aspect,hybrid_gated,42,15.0423
plantwild_aspect,hybrid_gated,1337,14.1442
plantwild_aspect,hybrid_gated,2024,16.0195
plantwild_aspect,hybrid_tokenattn,42,15.3592
plantwild_aspect,hybrid_tokenattn,1337,12.9688
plantwild_aspect,hybrid_tokenattn,2024,14.4612
latency_batch1_ms,effv2s,,5.6256
params_M,effv2s,,20.2287
latency_batch1_ms,swinv2t,,8.1056
params_M,swinv2t,,27.6089
latency_batch1_ms,hybrid_gated,,13.4684
params_M,hybrid_gated,,50.3484
latency_batch1_ms,hybrid_tokenattn,,13.6961
params_M,hybrid_tokenattn,,50.9429
