benchmark,predicted_class,mean_share_pct,sd_share_pct
plantdoc,Apple___Apple_scab,1.1443,0.6525
plantdoc,Apple___Black_rot,1.0053,1.1601
plantdoc,Apple___Cedar_apple_rust,0.2424,0.1471
plantdoc,Apple___healthy,0.7499,0.4597
plantdoc,Blueberry___healthy,3.0806,1.5813
plantdoc,Cherry___Powdery_mildew,0.2909,0.3448
plantdoc,Cherry___healthy,7.2860,4.1993
plantdoc,Corn___Cercospora_leaf_spot Gray_leaf_spot,5.8411,1.2638
plantdoc,Corn___Common_rust,2.2401,1.1778
plantdoc,Corn___Northern_Leaf_Blight,3.2196,0.6487
plantdoc,Corn___healthy,4.3154,1.8650
plantdoc,Grape___Black_rot,1.8070,0.9042
plantdoc,Grape___Esca_(Black_Measles),1.0473,1.1748
plantdoc,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.1810,0.1555
plantdoc,Grape___healthy,0.9988,0.5587
plantdoc,Orange___Haunglongbing_(Citrus_greening),0.4299,0.5070
plantdoc,Peach___Bacterial_spot,0.7693,0.7389
plantdoc,Peach___healthy,0.0743,0.1882
plantdoc,"Pepper,_bell___Bacterial_spot",1.3997,1.1594
plantdoc,"Pepper,_bell___healthy",25.5431,8.7008
plantdoc,Potato___Early_blight,1.2736,0.6072
plantdoc,Potato___Late_blight,0.7629,0.7250
plantdoc,Potato___healthy,0.0388,0.0496
plantdoc,Raspberry___healthy,1.5710,0.8733
plantdoc,Soybean___healthy,0.1034,0.0997
plantdoc,Squash___Powdery_mildew,3.5234,1.3233
plantdoc,Strawberry___Leaf_scorch,10.0336,3.0585
plantdoc,Strawberry___healthy,0.5592,0.4843
plantdoc,Tomato___Bacterial_spot,0.3136,0.4199
plantdoc,Tomato___Early_blight,6.1870,4.9722
plantdoc,Tomato___Late_blight,8.2299,2.9327
plantdoc,Tomato___Leaf_Mold,0.7564,0.3302
plantdoc,Tomato___Septoria_leaf_spot,2.5666,1.8586
plantdoc,Tomato___Spider_mites Two-spotted_spider_mite,0.0323,0.0492
plantdoc,Tomato___Target_Spot,0.0550,0.0835
plantdoc,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.1346,0.7953
plantdoc,Tomato___Tomato_mosaic_virus,0.0582,0.0730
plantdoc,Tomato___healthy,1.1346,0.8310
plantwild,Apple___Apple_scab,0.6504,0.4080
plantwild,Apple___Black_rot,0.8342,0.6100
plantwild,Apple___Cedar_apple_rust,0.1849,0.0841
plantwild,Apple___healthy,0.6570,0.3824
plantwild,Blueberry___healthy,2.5225,1.4566
plantwild,Cherry___Powdery_mildew,0.4534,0.5968
plantwild,Cherry___healthy,7.4012,3.4353
plantwild,Corn___Cercospora_leaf_spot Gray_leaf_spot,3.4271,0.9628
plantwild,Corn___Common_rust,1.2711,0.7530
plantwild,Corn___Northern_Leaf_Blight,2.1714,0.3860
plantwild,Corn___healthy,5.1340,1.7455
plantwild,Grape___Black_rot,1.3614,0.9077
plantwild,Grape___Esca_(Black_Measles),0.9718,1.1418
plantwild,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.2245,0.1641
plantwild,Grape___healthy,0.6878,0.3944
plantwild,Orange___Haunglongbing_(Citrus_greening),0.7319,0.5962
plantwild,Peach___Bacterial_spot,0.7627,0.6177
plantwild,Peach___healthy,0.1068,0.1564
plantwild,"Pepper,_bell___Bacterial_spot",0.8925,0.7453
plantwild,"Pepper,_bell___healthy",30.1913,8.9301
plantwild,Potato___Early_blight,1.3361,0.5533
plantwild,Potato___Late_blight,0.7363,0.4386
plantwild,Potato___healthy,0.0605,0.0316
plantwild,Raspberry___healthy,0.9509,0.6128
plantwild,Soybean___healthy,0.2124,0.1672
plantwild,Squash___Powdery_mildew,2.6622,1.0279
plantwild,Strawberry___Leaf_scorch,10.5828,3.2402
plantwild,Strawberry___healthy,0.3379,0.2839
plantwild,Tomato___Bacterial_spot,0.2256,0.3614
plantwild,Tomato___Early_blight,6.3865,4.6319
plantwild,Tomato___Late_blight,9.5571,3.8902
plantwild,Tomato___Leaf_Mold,0.7319,0.2703
plantwild,Tomato___Septoria_leaf_spot,1.7466,1.7139
plantwild,Tomato___Spider_mites Two-spotted_spider_mite,0.0572,0.0811
plantwild,Tomato___Target_Spot,0.0693,0.0887
plantwild,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.9623,1.3801
plantwild,Tomato___Tomato_mosaic_virus,0.1321,0.0816
plantwild,Tomato___healthy,1.6145,1.0842
