tag,architecture,seed,benchmark,mean_confidence_pct,accuracy_pct,ece
effv2s_s42,effv2s,42,plantvillage,95.068,99.926,0.0494
effv2s_s1337,effv2s,1337,plantvillage,95.097,99.908,0.0488
effv2s_s2024,effv2s,2024,plantvillage,95.085,99.926,0.0488
swinv2t_s42,swinv2t,42,plantvillage,95.253,99.890,0.0469
swinv2t_s1337,swinv2t,1337,plantvillage,95.237,99.890,0.0471
swinv2t_s2024,swinv2t,2024,plantvillage,95.261,99.871,0.0471
hybrid_gated_s42,hybrid_gated,42,plantvillage,96.728,99.871,0.0326
hybrid_gated_s1337,hybrid_gated,1337,plantvillage,96.772,99.926,0.0318
hybrid_gated_s2024,hybrid_gated,2024,plantvillage,96.722,99.890,0.0328
hybrid_tokenattn_s42,hybrid_tokenattn,42,plantvillage,94.937,99.908,0.0498
hybrid_tokenattn_s1337,hybrid_tokenattn,1337,plantvillage,95.078,99.926,0.0486
hybrid_tokenattn_s2024,hybrid_tokenattn,2024,plantvillage,95.049,99.945,0.0495
effv2s_s42,effv2s,42,plantdoc,60.309,19.822,0.4059
effv2s_s1337,effv2s,1337,plantdoc,60.186,21.102,0.3908
effv2s_s2024,effv2s,2024,plantdoc,62.594,20.559,0.4204
swinv2t_s42,swinv2t,42,plantdoc,77.320,16.330,0.6104
swinv2t_s1337,swinv2t,1337,plantdoc,78.104,18.891,0.5921
swinv2t_s2024,swinv2t,2024,plantdoc,78.738,18.658,0.6008
hybrid_gated_s42,hybrid_gated,42,plantdoc,72.436,17.766,0.5467
hybrid_gated_s1337,hybrid_gated,1337,plantdoc,72.152,16.137,0.5602
hybrid_gated_s2024,hybrid_gated,2024,plantdoc,73.400,18.697,0.5478
hybrid_tokenattn_s42,hybrid_tokenattn,42,plantdoc,76.080,17.998,0.5808
hybrid_tokenattn_s1337,hybrid_tokenattn,1337,plantdoc,71.084,16.408,0.5468
hybrid_tokenattn_s2024,hybrid_tokenattn,2024,plantdoc,77.001,17.339,0.5966
effv2s_s42,effv2s,42,plantwild,62.321,15.650,0.4667
effv2s_s1337,effv2s,1337,plantwild,60.499,16.495,0.4400
effv2s_s2024,effv2s,2024,plantwild,61.629,17.036,0.4459
swinv2t_s42,swinv2t,42,plantwild,78.066,13.405,0.6466
swinv2t_s1337,swinv2t,1337,plantwild,77.909,15.042,0.6287
swinv2t_s2024,swinv2t,2024,plantwild,77.489,15.821,0.6167
hybrid_gated_s42,hybrid_gated,42,plantwild,72.941,15.042,0.5790
hybrid_gated_s1337,hybrid_gated,1337,plantwild,73.528,14.144,0.5939
hybrid_gated_s2024,hybrid_gated,2024,plantwild,73.372,16.020,0.5735
hybrid_tokenattn_s42,hybrid_tokenattn,42,plantwild,77.432,15.359,0.6207
hybrid_tokenattn_s1337,hybrid_tokenattn,1337,plantwild,69.971,12.969,0.5700
hybrid_tokenattn_s2024,hybrid_tokenattn,2024,plantwild,77.787,14.461,0.6336
