benchmark,bin_lo,bin_hi,n,share,accuracy,mean_confidence
plantvillage,0.0000,0.0667,0,0.00000,,
plantvillage,0.0667,0.1333,0,0.00000,,
plantvillage,0.1333,0.2000,0,0.00000,,
plantvillage,0.2000,0.2667,0,0.00000,,
plantvillage,0.2667,0.3333,0,0.00000,,
plantvillage,0.3333,0.4000,1,0.00002,0.00000,0.34746
plantvillage,0.4000,0.4667,3,0.00005,0.66667,0.46059
plantvillage,0.4667,0.5333,6,0.00009,0.33333,0.49786
plantvillage,0.5333,0.6000,18,0.00028,0.66667,0.56565
plantvillage,0.6000,0.6667,15,0.00023,0.73333,0.64189
plantvillage,0.6667,0.7333,19,0.00029,0.78947,0.70804
plantvillage,0.7333,0.8000,26,0.00040,0.57692,0.77218
plantvillage,0.8000,0.8667,25,0.00038,0.84000,0.83911
plantvillage,0.8667,0.9333,359,0.00551,0.97493,0.91810
plantvillage,0.9333,1.0000,64688,0.99276,0.99974,0.95589
plantdoc,0.0000,0.0667,0,0.00000,,
plantdoc,0.0667,0.1333,76,0.00246,0.10526,0.11947
plantdoc,0.1333,0.2000,484,0.01565,0.08058,0.17254
plantdoc,0.2000,0.2667,945,0.03055,0.08677,0.23500
plantdoc,0.2667,0.3333,1280,0.04138,0.09219,0.30118
plantdoc,0.3333,0.4000,1613,0.05214,0.10973,0.36800
plantdoc,0.4000,0.4667,1776,0.05741,0.11655,0.43415
plantdoc,0.4667,0.5333,1749,0.05654,0.12693,0.49988
plantdoc,0.5333,0.6000,1755,0.05673,0.13105,0.56717
plantdoc,0.6000,0.6667,1688,0.05456,0.12500,0.63387
plantdoc,0.6667,0.7333,1850,0.05980,0.13568,0.70088
plantdoc,0.7333,0.8000,2204,0.07124,0.14973,0.76818
plantdoc,0.8000,0.8667,2918,0.09432,0.16827,0.83518
plantdoc,0.8667,0.9333,5519,0.17840,0.20982,0.90607
plantdoc,0.9333,1.0000,7079,0.22883,0.30230,0.94979
plantwild,0.0000,0.0667,1,0.00001,0.00000,0.05895
plantwild,0.0667,0.1333,252,0.00277,0.06349,0.11685
plantwild,0.1333,0.2000,1375,0.01513,0.06473,0.17257
plantwild,0.2000,0.2667,2724,0.02998,0.06571,0.23520
plantwild,0.2667,0.3333,3722,0.04096,0.07362,0.30071
plantwild,0.3333,0.4000,4450,0.04897,0.07843,0.36796
plantwild,0.4000,0.4667,5124,0.05639,0.08626,0.43392
plantwild,0.4667,0.5333,5126,0.05641,0.09676,0.49973
plantwild,0.5333,0.6000,5018,0.05523,0.09805,0.56657
plantwild,0.6000,0.6667,5032,0.05538,0.10354,0.63299
plantwild,0.6667,0.7333,5493,0.06045,0.10741,0.70069
plantwild,0.7333,0.8000,6599,0.07263,0.11608,0.76802
plantwild,0.8000,0.8667,8557,0.09417,0.12049,0.83524
plantwild,0.8667,0.9333,16189,0.17817,0.15863,0.90558
plantwild,0.9333,1.0000,21202,0.23334,0.27950,0.94991
