path,true,pred,correct,target_prob,cam_energy_off_leaf_frac,leaf_area_frac,deletion_auc,insertion_auc
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (335).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9676466584205627,0.17112070322036743,0.58831787109375,0.43071624636650085,0.8636990785598755
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (422).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9681375622749329,0.5076524019241333,0.681884765625,0.9589719176292419,0.9337816834449768
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/Malus-Scab-disease-225x300.jpg,Apple___Apple_scab,Grape___Black_rot,0,0.009214591234922409,0.28175896406173706,0.7195587158203125,0.008072498254477978,0.007404383271932602
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (534).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.968726396560669,0.6445688009262085,0.563812255859375,0.5992619395256042,0.5992540717124939
plantdoc/PlantDoc-Dataset/train/Apple Scab Leaf/scab_large.jpg,Apple___Apple_scab,Corn___Common_rust,0,0.003055569250136614,0.3369894027709961,0.78228759765625,0.005867977160960436,0.005870744585990906
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (106).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.968213677406311,0.2218725085258484,0.831939697265625,0.9335285425186157,0.8206450939178467
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (217).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9690283536911011,0.3209882378578186,0.6947784423828125,0.8681091070175171,0.43857619166374207
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (561).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9681093096733093,0.015894591808319092,0.9555816650390625,0.9655516743659973,0.9645957946777344
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (525).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9667812585830688,0.37952589988708496,0.776885986328125,0.7563366889953613,0.8135920763015747
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (278).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9672959446907043,0.35095489025115967,0.7717437744140625,0.8236731290817261,0.7422230839729309
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (148).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9675302505493164,0.678864598274231,0.5467987060546875,0.8734924793243408,0.8295494318008423
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (263).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9680002927780151,0.2735562324523926,0.7170867919921875,0.7178006768226624,0.7333944439888
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (357).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9673634171485901,0.15236306190490723,0.7724151611328125,0.7196065783500671,0.7201345562934875
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (158).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9674747586250305,0.10809105634689331,0.67559814453125,0.4051818251609802,0.5115630626678467
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (567).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9681864976882935,0.8624124526977539,0.5518341064453125,0.7677685618400574,0.6082059144973755
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (62).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9681807160377502,0.922706127166748,0.5535430908203125,0.7121372222900391,0.3997898995876312
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (156).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9658221006393433,0.6906236410140991,0.4710235595703125,0.8749787211418152,0.2721494138240814
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (164).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9664499759674072,0.884534478187561,0.4542388916015625,0.9643178582191467,0.8921640515327454
plantdoc/PlantDoc-Dataset/train/Apple rust leaf/cedapp04_lg.jpg,Apple___Cedar_apple_rust,Apple___healthy,0,0.003707307390868664,0.25997596979141235,0.57830810546875,0.009447114542126656,0.1524442434310913
