path,true,pred,correct,target_prob,cam_energy_off_leaf_frac,leaf_area_frac,deletion_auc,insertion_auc
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (415).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9681282639503479,1.0,0.5579071044921875,0.8363933563232422,0.503235936164856
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (619).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9688423275947571,0.025408506393432617,0.9304962158203125,0.512823224067688,0.621292233467102
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (555).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9679151773452759,0.19524461030960083,0.7498016357421875,0.8003905415534973,0.43823477625846863
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (586).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9684386849403381,0.17745977640151978,0.73052978515625,0.9525524377822876,0.9666058421134949
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (406).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9678719639778137,0.443845272064209,0.6948394775390625,0.8600776195526123,0.6692577004432678
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (29).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9694870710372925,0.12082421779632568,0.699310302734375,0.6758435964584351,0.8038689494132996
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (588).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9686325788497925,0.14868265390396118,0.6839599609375,0.8619305491447449,0.8732190728187561
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (112).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9685044288635254,0.1482880711555481,0.8037872314453125,0.9191802144050598,0.8017052412033081
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (239).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.9683991074562073,0.08127844333648682,0.622528076171875,0.4894820749759674,0.7220925092697144
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Apple_scab/image (496).JPG,Apple___Apple_scab,Apple___Apple_scab,1,0.967356264591217,0.05767714977264404,0.70367431640625,0.43322110176086426,0.631064772605896
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (31).JPG,Apple___Black_rot,Apple___Black_rot,1,0.968076229095459,0.43405789136886597,0.5614166259765625,0.502930760383606,0.7173182368278503
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (489).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9686746597290039,0.6537848711013794,0.6006317138671875,0.7876004576683044,0.5304142236709595
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (230).JPG,Apple___Black_rot,Apple___Black_rot,1,0.967635452747345,0.4488068222999573,0.6889495849609375,0.8443031311035156,0.9112040400505066
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (72).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9680420160293579,0.598803699016571,0.559967041015625,0.8028443455696106,0.8067034482955933
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (77).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9683285355567932,0.867179274559021,0.6408843994140625,0.590499997138977,0.5164223909378052
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (357).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9673634171485901,0.15236306190490723,0.7724151611328125,0.7196065783500671,0.7201345562934875
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (264).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9682509899139404,0.5337315797805786,0.6218719482421875,0.6243039965629578,0.48973554372787476
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (22).JPG,Apple___Black_rot,Apple___Black_rot,1,0.967663586139679,0.8433689475059509,0.546783447265625,0.6481004953384399,0.6670974493026733
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (37).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9690845608711243,0.2799227237701416,0.589935302734375,0.8741888999938965,0.3021252751350403
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Black_rot/image (457).JPG,Apple___Black_rot,Apple___Black_rot,1,0.9678515195846558,0.35008060932159424,0.72235107421875,0.7632234692573547,0.5565320253372192
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (94).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9649605751037598,0.34723198413848877,0.77935791015625,0.7823130488395691,0.9196494221687317
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (39).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9675503373146057,0.42854851484298706,0.5289764404296875,0.889790415763855,0.45217880606651306
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (141).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.965419352054596,0.5273576378822327,0.6464996337890625,0.9076448082923889,0.7257230281829834
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (76).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.965641975402832,0.6945819854736328,0.5063629150390625,0.9196484684944153,0.5057114362716675
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (230).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9656004905700684,0.4319115877151489,0.831787109375,0.9332565069198608,0.8052508234977722
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (164).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9664499759674072,0.884534478187561,0.4542388916015625,0.9643178582191467,0.8921640515327454
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (168).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9685314893722534,0.6928508877754211,0.5316009521484375,0.8783453106880188,0.2345796525478363
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (71).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9673694372177124,0.5286606550216675,0.6150360107421875,0.9196354746818542,0.7228842973709106
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (198).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.9666747450828552,0.5082205533981323,0.67340087890625,0.8806561231613159,0.4972168207168579
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___Cedar_apple_rust/image (77).JPG,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,1,0.967232346534729,0.566913902759552,0.559661865234375,0.9209942817687988,0.34005874395370483
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (241).JPG,Apple___healthy,Apple___healthy,1,0.9684035778045654,0.2826455235481262,0.690704345703125,0.8725800514221191,0.5895983576774597
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (423).JPG,Apple___healthy,Apple___healthy,1,0.9688160419464111,0.1261388063430786,0.8956298828125,0.7309752702713013,0.6872208118438721
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (236).JPG,Apple___healthy,Apple___healthy,1,0.9681042432785034,0.3091700077056885,0.752166748046875,0.8853778839111328,0.5547135472297668
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (974).JPG,Apple___healthy,Apple___healthy,1,0.968616247177124,0.32785362005233765,0.3816680908203125,0.7780497670173645,0.8167055249214172
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (1398).JPG,Apple___healthy,Apple___healthy,1,0.9685509204864502,0.15707933902740479,0.766448974609375,0.9248043298721313,0.688315212726593
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (1200).JPG,Apple___healthy,Apple___healthy,1,0.9693230390548706,0.6947213411331177,0.60748291015625,0.8625356554985046,0.4754233956336975
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (1357).JPG,Apple___healthy,Apple___healthy,1,0.9682266116142273,0.5398127436637878,0.587188720703125,0.863705575466156,0.6291226148605347
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (1538).JPG,Apple___healthy,Apple___healthy,1,0.9680115580558777,0.11548542976379395,0.841888427734375,0.8258557915687561,0.6754765510559082
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (1014).JPG,Apple___healthy,Apple___healthy,1,0.9679052233695984,0.4002283811569214,0.7116241455078125,0.808098554611206,0.5072314143180847
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Apple___healthy/image (172).JPG,Apple___healthy,Apple___healthy,1,0.9685775637626648,0.4556082487106323,0.7464447021484375,0.8144304156303406,0.6040818691253662
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (920).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9684528708457947,0.44798243045806885,0.5062713623046875,0.7636678814888,0.8900176286697388
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (436).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9678906798362732,0.20110952854156494,0.5950469970703125,0.22562091052532196,0.9090361595153809
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (1298).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9688960313796997,0.3772055506706238,0.8029022216796875,0.8816182017326355,0.8179694414138794
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (684).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9681565761566162,0.2116689682006836,0.7890625,0.7809781432151794,0.8034923076629639
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (1265).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9671205282211304,0.0801423192024231,0.7681427001953125,0.4007180631160736,0.8719846606254578
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (392).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9688790440559387,0.4057256579399109,0.5348663330078125,0.9121828675270081,0.8397740721702576
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (34).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9688848853111267,0.6193275451660156,0.5083770751953125,0.8793630003929138,0.7749462127685547
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (1387).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9691205024719238,0.635143518447876,0.5413055419921875,0.9365563988685608,0.5706499814987183
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (792).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9689635634422302,0.352803111076355,0.51629638671875,0.9440518617630005,0.9290051460266113
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Blueberry___healthy/image (330).JPG,Blueberry___healthy,Blueberry___healthy,1,0.9688869714736938,0.2122880220413208,0.75836181640625,0.9078118205070496,0.7087522149085999
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (577).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9682579040527344,0.4482341408729553,0.4228057861328125,0.931969404220581,0.9599525928497314
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (448).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9690733551979065,0.12269431352615356,0.7508392333984375,0.8988311290740967,0.9628585577011108
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (377).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9676288962364197,0.219774067401886,0.62371826171875,0.9666791558265686,0.967193603515625
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (183).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9677571654319763,0.521041989326477,0.5240020751953125,0.8559348583221436,0.9349427223205566
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (548).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9698424935340881,0.1301470398902893,0.675872802734375,0.7199374437332153,0.6263890862464905
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (592).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9675689339637756,0.4967227578163147,0.48486328125,0.9668648838996887,0.9680498838424683
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (779).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.967195987701416,0.616356372833252,0.5435791015625,0.9589932560920715,0.9610645771026611
plantvillage/PV_root/Plant_leave_diseases_dataset_without_augmentation/Cherry___Powdery_mildew/image (537).JPG,Cherry___Powdery_mildew,Cherry___Powdery_mildew,1,0.9616588950157166,0.3436530828475952,0.722930908203125,0.15740597248077393,0.6116368174552917
