class,precision,recall,f1,support
Apple___Apple_scab,1.0,1.0,1.0,63
Apple___Black_rot,1.0,0.9838709677419355,0.991869918699187,62
Apple___Cedar_apple_rust,1.0,1.0,1.0,28
Apple___healthy,1.0,0.9878048780487805,0.9938650306748467,164
Blueberry___healthy,1.0,1.0,1.0,150
Cherry___Powdery_mildew,1.0,1.0,1.0,105
Cherry___healthy,1.0,0.9764705882352941,0.988095238095238,85
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.96,0.9411764705882353,0.9504950495049505,51
Corn___Common_rust,1.0,1.0,1.0,119
Corn___Northern_Leaf_Blight,0.9595959595959596,0.9693877551020408,0.964467005076142,98
Corn___healthy,1.0,1.0,1.0,116
Grape___Black_rot,0.9915966386554622,1.0,0.9957805907172996,118
Grape___Esca_(Black_Measles),1.0,0.9927536231884058,0.9963636363636363,138
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108
Grape___healthy,0.9767441860465116,1.0,0.988235294117647,42
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,551
Peach___Bacterial_spot,1.0,0.9956521739130435,0.9978213507625272,230
Peach___healthy,0.9473684210526315,1.0,0.972972972972973,36
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,100
"Pepper,_bell___healthy",0.9932885906040269,1.0,0.9966329966329966,148
Potato___Early_blight,1.0,1.0,1.0,100
Potato___Late_blight,1.0,0.99,0.9949748743718593,100
Potato___healthy,0.9375,1.0,0.967741935483871,15
Raspberry___healthy,1.0,1.0,1.0,37
Soybean___healthy,0.9960861056751468,1.0,0.9980392156862744,509
Squash___Powdery_mildew,1.0,1.0,1.0,184
Strawberry___Leaf_scorch,0.9910714285714286,1.0,0.9955156950672646,111
Strawberry___healthy,1.0,0.9782608695652174,0.989010989010989,46
Tomato___Bacterial_spot,1.0,0.9906103286384976,0.9952830188679246,213
Tomato___Early_blight,0.9801980198019802,0.99,0.9850746268656716,100
Tomato___Late_blight,0.9947916666666666,1.0,0.9973890339425587,191
Tomato___Leaf_Mold,1.0,1.0,1.0,95
Tomato___Septoria_leaf_spot,1.0,0.9943502824858758,0.9971671388101983,177
Tomato___Spider_mites Two-spotted_spider_mite,1.0,0.9940476190476191,0.9970149253731343,168
Tomato___Target_Spot,0.9859154929577465,1.0,0.9929078014184397,140
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,536
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,37
Tomato___healthy,1.0,1.0,1.0,159
