path,class,split
plantwild/extracted/plantwild/images/apple scab/google_0009.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0110.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0196.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0319.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/31.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0224.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0189.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0057.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0002.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/26.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0016.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0296.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0099.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0203.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0190.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/10.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0302.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0155.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0240.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0028.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/97.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/45.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0285.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/13.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0092.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0136.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0301.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/9.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/44.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0021.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0289.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0270.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/66.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0295.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0256.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0140.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0297.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/68.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0067.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0041.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/3.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0006.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/8.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/14.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0244.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/33.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/53.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0153.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0029.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0068.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0156.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0074.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0233.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/43 - Copy (2).jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0305.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0183.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/48.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0226.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0008.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/4.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0287.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0012.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/60.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/12.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0300.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0206.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0288.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/17.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0049.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0075.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0086.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0135.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0038.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0184.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0050.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0332.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0259.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0316.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0334.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/69.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0219.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0245.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/57 - Copy.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0105.jpg,Apple___Apple_scab,fit
