bin_lo,bin_hi,n,accuracy,mean_confidence,gap
0.0000,0.0667,0,,,
0.0667,0.1333,0,,,
0.1333,0.2000,26,0.076923,0.172496,0.095573
0.2000,0.2667,55,0.072727,0.238129,0.165402
0.2667,0.3333,91,0.098901,0.300299,0.201398
0.3333,0.4000,105,0.104762,0.367409,0.262647
0.4000,0.4667,143,0.118881,0.433099,0.314218
0.4667,0.5333,147,0.108844,0.501865,0.393021
0.5333,0.6000,121,0.123967,0.566043,0.442076
0.6000,0.6667,119,0.109244,0.631786,0.522542
0.6667,0.7333,129,0.124031,0.700080,0.576049
0.7333,0.8000,158,0.088608,0.769327,0.680719
0.8000,0.8667,203,0.113300,0.836653,0.723352
0.8667,0.9333,381,0.094488,0.904932,0.810444
0.9333,1.0000,898,0.150334,0.956347,0.806012
