bin_lo,bin_hi,n,accuracy,mean_confidence,gap
0.0000,0.0667,0,,,
0.0667,0.1333,0,,,
0.1333,0.2000,0,,,
0.2000,0.2667,0,,,
0.2667,0.3333,1,0.000000,0.328400,0.328400
0.3333,0.4000,1,1.000000,0.348600,0.651400
0.4000,0.4667,1,1.000000,0.456800,0.543200
0.4667,0.5333,4,1.000000,0.479325,0.520675
0.5333,0.6000,4,1.000000,0.563350,0.436650
0.6000,0.6667,2,1.000000,0.627900,0.372100
0.6667,0.7333,4,0.750000,0.706300,0.043700
0.7333,0.8000,4,0.500000,0.762350,0.262350
0.8000,0.8667,7,0.571429,0.837414,0.265986
0.8667,0.9333,28,0.785714,0.916246,0.130532
0.9333,1.0000,5374,0.998697,0.967697,0.031000
